recommendationid,language,review,voted_up,timestamp_created,timestamp_updated,author.playtime_forever,author.playtime_at_review,steam_purchase,received_for_free,votes_up,votes_funny,weighted_vote_score,comment_count
224241066,english,"BREAKING IT IS THE POINT, MUCH FUN",True,1777324245,1777324245,1413,1413,True,False,0,0,0.5,0
224241056,english,"Can't wait for more content, this game is amazing",True,1777324237,1777324237,931,931,True,False,0,0,0.5,0
224241025,german,"Holy Moly what a Game guys! Great Work!

Wasnt sure about it because i personally dont like Deckbuilding that much. But damn. I tried it and played 10+ hour in one sitting. Felt like 3 hours.

This Game feels Smooth, has the special and recognizable art style from Vampire Survivors and also runs really well

Have fun with it! And iam already hyped for future Content! (take your time <3)

",True,1777324196,1777324196,1863,1150,True,False,0,0,0.5,0
224240976,latam,"Juegazo, creativo con el tema de las cartas y siendo tipo dungeon crawler",True,1777324130,1777324130,1431,1431,True,False,0,0,0.5,0
224240894,english,"I'll join the small minority of negative reviews. I was a huge fan of the OG Vampire Survivors. I love deckbuilder roguelikes passionately. The review underneath might sound very negative, but I will preface everything by saying that the bones of Vampire Crawlers are good. The game has a lot of space to improve.

The game is fine. But that is it. Definitely the price point is not high, but the balance is very busted (this can change later of course) and the game turns into a slog extremely quickly.

I dislike the grindy meta-progression, I dislike the fact that (near?) infinite decks exist so easily, and that they require insane amounts of time to play, while not being particularly mentally challenging. I made an uncountable hundred card plays during my third run, and the game was essentially solved, but for maximal meta-progression I would have to play even more cards, completely pointlessly otherwise.

""Players will optimize the fun out of a game if given a chance"" I definitely lived through that very early in the game, and I usually am a fan of optimization.

Some peeves: The combos cards create are not particularly engaging, and there is just too much busy work. Animations are slow and I didn't find options to speed them up enough. I hate that I have to play through hours of easy levels to get a challenge.

I definitely think there are the makings of a good game here. I can't recommend it, because in the end it boils down to my few runs feeling either shallow in gameplay depth or just boring. Most games that really make it in the roguelite deckbuilder genre have more engaging mechanics and require engaging the mind more actively. Right now the game is at an unthankful half way point between the casino experience of the original Vampire Survivor without the real time engagement, and the fun part of all time classics like Slay the Spire 2 and Monster Train 2. The middle between these two doesn't seem to work currently, maybe in the future.",False,1777324019,1777324019,232,232,True,False,15,1,0.596876263618469238,0
224240839,brazilian,"Já tinha feito 100% das conquistas do Vampire Survivors, então, como eu AMO jogos de carta, foi uma compra bem fácil. 100%tei o jogo em +/- 19h.",True,1777323964,1777323964,1284,1205,True,False,0,0,0.5,0
224240701,english,GG,True,1777323799,1777323799,1655,1555,True,False,0,0,0.5,0
224240647,english,"Quite possibly the best casual Roguelite Deckbuilder currently available.

Vampire Crawler is based on the previous hit indie videogame vampire survivors which was focused on destroying massive hordes of enemies with a random selection of “choose 1 of 3” items to enhance your fighting capabilities against the creatures of the night. However, even though the genre has swapped from Action Roguelike to Deckbuilder, I have rarely ever seen a more faithful and fun adaptation in the gaming industry than Vampire Crawlers.

The game manages to take almost everything from the previous entry and somehow all the items, characters, mechanics, etc. still feel and play like their original counterparts.
This is extremely fascinating to me simply because it’s a complete genre shift, and they still accomplished this feeling of familiarity while being something entirely different gameplay wise.

I would usually start describing the gameplay by now, but Vampire Crawler is already a treat before the game even really starts. Once you get past the main menu screen, you will have to complete a basic tutorial on how the game works, and then you get send to the village which serves as your “hub area” for choosing upgrades, what characters to play and other useful sections. The Village is designed in such a fun way that it makes navigating the different parts very refreshing in comparison to other titles of its genre.

Before I go over to gameplay, I also want to mention my personal highlight of this game and that is its music. The soundtrack is incredible and fits the game’s theme and aesthetic perfectly. A super fun listening experience from start to finish that genuinely surprised me.

Now, let’s talk gameplay and there is a lot to cover here.
On paper, the concept is pretty simple. You get a set of cards based on the character you picked and then defeat rows and groups of enemies to gain experience points or gold. Most cards need mana to be played and once you’re out of mana, your turn ends and the enemies then get to attack or move forward. Once the enemy conducts their action, you draw a certain amount of cards and your mana replenishes again. This process repeats itself once the foe is vanquished or your life points have been reduced to zero (with no Tirajisú left) and you will be send back to the village. Just like most other Roguelite Deckbuilders, knowing which cards to pick and when to use them is crucial to be most efficient with mana usage, and Vampire Crawler is no stranger to that concept, they take the concept even further actually by adding a mechanic called “combos”. For example by playing a card that has a mana cost of 1, every card with mana value 2 in your hand gains a slight increase in its capability (more dmg, armor, etc.). After playing the 2 mana card, all 3 mana cards now get an increase to their stats. If you’re able to rack up the combo further and further upwards, these bonus stats can reach ridiculous amounts, but only if the chain of combos hasn’t been broken by a card with a lower, equal or too high mana cost value than the previous one. The amount of run customization in this game is actual insanity, since you can add on different abilities and effects on the cards and card-evolutions are brought back as well from the previous game, which is achieved by combining mostly 2 specific cards together into a high-cost nuke everything card.

During your run, you gain exp from slaying enemies and some other sources and that exp is then used to gain more cards from a selection of 3–4 random unlocked cards. Earned Gold will be brought back to the village to spend on new characters, status upgrades or giving cards more customization slots. The goal is to complete one floor after another to progress through the many different levels and reach the final boss of the level.

Runs can get crazy really fast, but the first few hours are relatively tame compared to mid- and especially late- game. This is where I am going to make my first and only mayor complaint about this game and that has to be its completion. All the achievements are extremely easy to obtain, and I finished it in around 20 hours with all achievements already under my belt. Now, for 10 bucks, it’s still 100% worth every penny since the time you spend playing it is incredibly fun and rewarding. However, if your trying to find a roguelite/roguelike to sink your teeth in and get challenged, this probably isn’t what you’re looking for.

In conclusion, Vampire Crawler is a perfect mix of its predecessor with the deckbuilder genre, accompanied by a great soundtrack and so many unique design and gameplay choices, which makes it one of the best released indie games of this year and definitely worth checking out.",True,1777323729,1777323729,1330,1330,True,False,0,0,0.5,0
224240526,english,Very nice,True,1777323599,1777323599,1729,1355,True,False,0,0,0.5,0
224240469,english,fun addicting gameplay,True,1777323518,1777323518,733,149,True,False,0,0,0.5,0
224240421,english,"Surprisingly fun spin-off of Vampire Survivors! Has a similar addictive feel, but gameplay is deceptively deep. A pretty fun spin on the deck-building rogue-like concepts. Works excellent on a (M4) Mac as well which is a bonus.",True,1777323469,1777323469,945,250,True,False,0,0,0.5,0
224240166,english,Vampire Crawlers is literally everything I hoped it would be and more. I was so excited to hear this was coming out after absolutely loving Vampire Survivors. It has that same addictive feel with all of the wonderfulness from survivors morphed into it's own dungeon crawler game. My only issue with it is that I think it is nearly over. Hopefully they release more DLC soon. Love it!,True,1777323199,1777323199,1562,938,True,False,0,0,0.5,0
224239730,english,This is what perfection looks like,True,1777322716,1777322716,1752,1133,True,False,0,0,0.5,0
224239630,german,"Vampire Crawlers is a fantasy violence themed inventory simulator, the inventory is limited to a deck of cards.",True,1777322605,1777322605,2935,410,True,False,0,0,0.5,0
224239578,english,It seems really easy at first and then all of a sudden you're carefully picking which cards to use,True,1777322575,1777322575,207,207,True,False,0,0,0.5,0
224239533,french,"Nice but a bit easy, lacks late game content",True,1777322548,1777322548,1632,1632,True,False,0,0,0.5,0
224239470,english,Mortaccio...,True,1777322501,1777322501,642,587,True,False,0,0,0.5,0
224238948,english,"And here I thought my Vampire survivors addiction was over...

This is a card game from Poncle so you can expect insane game breaking combos. Sadly, that's a double edged sword.

Because it's really fun when you realize how OP it is when you unlock and add the +2 crawlers to your party, equip the Chain link Arcana, and get your hands on some wildcards. The early gameplay is really fun. And my God the music department is still cooking!

But the problem is the same as it was with Vampire survivors, the lack of visual clarity and some huge lack of QoL features. 
This is not an issue in the early-mid game, but when you get to the endgame around Cappella Magna (or maybe even before), you start drawing your entire deck and it's a mess.
First of all, the game doesn't track your deck. Like, at all. There's a 'Deck pile' but that has a very different function and doesn't track mana, nor does it sort cards. 

But the worst is the way the game handles the Hand.
The End gameplay loop is something like this:
Fight an enemy, level up, get a card, Tab out to the notepad and update your own deck tracker. 
Enter bossfight. While fighting the trash you have an opportunity to buff yourself, because when the boss comes, you get hit after every 6th card. So what you will be doing is this: 
- Phase 1: Drawing your entire deck. Move all combat and single use buff cards to the right side ('locked cards'). The rest you arrange by mana, these will become your 'Pool'. Select from the 'Pool' a set of cards based on mana cost. -2, -1, 0, 1, 2, 3, 4, 5, 6. one of each, draw, mana and buffs mixed for a rotation. I call these the 'Active cards'.
Start playing the 'Active cards' from lowest mana cost to highest, then a wildcard, repeat. Once you played a card a couple times, it cracks. If that happens you move the card to the 'locked' section of your hand. And replace the cracked ones with same cost cards.
When you draw new cards, they go to the left side of your hand. 
So your hand looks like this while playing: 'Active cards' | 'Pool' | 'Locked Cards' Now, I named and explained these sections because I will come back to them later. 
- Phase 2: When you have enough Might, Amount, Growth, Greed, etc you will switch to combat mode.
You do change your 'Active cards' from utility to combat cards and some mana or draw if needed. 
Oneshot the boss and get Ultra Mega Overkill. Good Times.

Now my problem with this is that there's absolutely no need for all the cards to be in one place. 
Lategame becomes a surgery simulator. Because you can't see nor select your cards easily/fast enough. It's gruelingly slow and frustrating (I spent from hours to up to half a day on single runs). Stressful too because selecting cards is quite janky and you will constantly be worried that you will missclick and ruin your 100+ combo. 
The UI doesn't help either. It's squished in the middle, with wasted free space on the sides, The HP indicator is covering the left side of the hand. And the cards are a bit too big, and they are way too crammed. 
'Active cards' the 'Pool' and 'Locked Cards' should be separated, but at least the 'Locked cards' should be able to be hidden. If not separating

And it needs a proper deck tracker. The current one only shows the full deck out of combat. In combat your cards are all over the place, Deck pile, discard pile, cards above the discard pile, Neither does track the cards by amount of mana, which is baffling, since the entire gameplay loop is about playing cards in ascending mana cost. I had to spend so much time to constantly update my own deck tracker in a notepad. 

These really ruined the fun of this game for me. By the end I was just rushing through the last couple achievements, and uninstalled it with relief. I finished it in almost 60 hours when it should've been 15-20. And the only reason it took this long is because of the lack of deck tracking, the janky card selection, and the horrible visual clarity.
I can recommend this game, but it desperately needs a couple of Quality of Life changes.

I give it:
One DECK TRACKER 
  𖤐: 
 W: 
-2: 
-1: 
 0: 3
 1: 3
 2: 3
 3: 2
 4: 1
 5: 
 6: 

Out of ten",True,1777322133,1777322133,3471,3471,True,False,0,1,0.5,0
224238933,english,"A love letter to Shinning in the Darkness, Might and magic, Castlevania, Slay the Spire, and of course Vampire Survivors. Just thank you for making this!",True,1777322121,1777322121,2164,2164,True,False,0,0,0.5,0
224238630,english,Very good,True,1777321796,1777321796,1087,1087,True,False,0,0,0.5,0
224238586,german,"This game does the same to you as crack, once you tried it you can't let it go",True,1777321752,1777321752,1576,550,True,False,0,0,0.5,0
224238383,english,Good.,True,1777321525,1777321525,1152,409,True,False,0,0,0.5,0
